request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. The 90-day forecast keeps at least USD 1,300 available."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. The 90-day forecast protects the EUR 1,400 minimum."
request_179,9806522.91,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 2025-07-15, then pay IDR 41,648,000 in full without taking the forecast below the IDR 41,430,800 minimum."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. The 90-day forecast keeps at least INR 37,300 available."
request_181,289.78,not_affordable,not_recommended,none,,none,"Do not proceed with USD 5,059.20. No eligible plan completes the request within 90 days while protecting the USD 2,000 minimum."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. The 90-day forecast keeps at least ZAR 31,100 available."
request_183,22979344.58,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9,313,546.67, starting 2026-04-10. The 90-day forecast protects the IDR 11,878,300 minimum."
request_184,7140.44,not_affordable,not_recommended,none,,none,"Do not proceed with INR 251,900. No eligible plan completes the request within 90 days while protecting the INR 110,800 minimum."
request_185,312.64,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Wait until 2026-01-15, then pay EUR 1,257.30 in full without taking the forecast below the EUR 1,300 minimum."
request_186,6188.08,affordable_later,wait,2026-02-15:26554,2026-02-15,none,"Wait until 2026-02-15, then pay ZAR 26,554 in full without taking the forecast below the ZAR 22,000 minimum."
request_187,37822.16,affordable_later,wait,2024-10-15:187500,2024-10-15,none,"Wait until 2024-10-15, then pay INR 187,500 in full without taking the forecast below the INR 128,300 minimum."
request_188,103.69,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 2,464. No eligible plan completes the request within 90 days while protecting the EUR 900 minimum."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. The 90-day forecast keeps at least EUR 400 available.
request_190,544.03,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Wait until 2025-02-15, then pay EUR 2,557.50 in full without taking the forecast below the EUR 1,600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. The 90-day forecast keeps at least EUR 500 available.
request_192,164.09,not_affordable,not_recommended,none,,none,"Do not proceed with USD 2,046. No eligible plan completes the request within 90 days while protecting the USD 1,000 minimum."
request_193,31.92,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,"Use 3 installments of EUR 420.23, starting 2024-03-21. The 90-day forecast protects the EUR 1,000 minimum."
request_194,32797.01,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Wait until 2025-10-23, then pay INR 132,800 in full without taking the forecast below the INR 113,600 minimum."
request_195,967.33,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Use 3 installments of EUR 405.74, starting 2026-01-09. The 90-day forecast protects the EUR 700 minimum."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. The 90-day forecast keeps at least EUR 500 available.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17,658,853.33, starting 2025-11-19. The 90-day forecast protects the IDR 26,245,900 minimum."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. The 90-day forecast keeps at least INR 124,300 available."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 2024-09-07. The 90-day forecast protects the IDR 25,359,500 minimum."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. The 90-day forecast keeps at least IDR 20,114,600 available."
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. The 90-day forecast keeps at least IDR 17,304,500 available."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. The 90-day forecast keeps at least INR 147,800 available."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 2025-05-10. The 90-day forecast protects the EUR 1,400 minimum."
request_204,573.84,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Wait until 2026-01-15, then pay EUR 588.74 in full without taking the forecast below the EUR 1,300 minimum."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. The 90-day forecast keeps at least IDR 13,994,300 available."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 2025-08-03. The 90-day forecast protects the EUR 900 minimum."
request_207,4564.59,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Wait until 2026-07-15, then pay ZAR 11,830 in full without taking the forecast below the ZAR 13,600 minimum."
request_208,3077098.41,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Wait until 2024-06-15, then pay IDR 4,413,000 in full without taking the forecast below the IDR 10,470,700 minimum."
request_209,1678.56,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 56,914. No eligible plan completes the request within 90 days while protecting the ZAR 18,400 minimum."
request_210,820.6,affordable_with_plan,partial_payment,2026-04-06:820.60|2026-04-15:539.42,2026-04-15,none,"Pay USD 820.60 today and USD 539.42 on 2026-04-15. The plan protects the USD 2,000 minimum."
request_211,334.45,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Wait until 2024-11-15, then pay EUR 1,788.60 in full without taking the forecast below the EUR 1,500 minimum."
request_212,4013224.11,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 71,934,000. No eligible plan completes the request within 90 days while protecting the IDR 29,579,800 minimum."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1,165.63, starting 2026-01-21. The 90-day forecast protects the USD 2,100 minimum."
request_214,54813.02,affordable_with_plan,partial_payment,2024-12-04:54813.02|2024-12-15:14936.98,2024-12-15,none,"Pay INR 54,813.02 today and INR 14,936.98 on 2024-12-15. The plan protects the INR 174,900 minimum."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 2025-05-09. The 90-day forecast protects the ZAR 15,700 minimum."
request_216,485.32,affordable_later,wait,2026-08-15:3332.40,2026-08-15,none,"Wait until 2026-08-15, then pay USD 3,332.40 in full without taking the forecast below the USD 1,800 minimum."
request_217,19577.05,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12,889.07, starting 2024-03-19. The 90-day forecast protects the ZAR 26,800 minimum."
request_218,24534619,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 2025-08-07. The 90-day forecast protects the IDR 34,477,200 minimum."
request_219,705.2,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 2026-04-07. The 90-day forecast protects the EUR 1,100 minimum."
request_220,71.95,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 3,118.50. No eligible plan completes the request within 90 days while protecting the EUR 1,100 minimum."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. The 90-day forecast keeps at least INR 81,500 available."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. The 90-day forecast keeps at least ZAR 27,300 available."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. The 90-day forecast keeps at least EUR 800 available.
request_224,10048923.52,affordable_with_plan,partial_payment,2025-02-04:10048923.52|2025-02-15:278076.48,2025-02-15,none,"Pay IDR 10,048,923.52 today and IDR 278,076.48 on 2025-02-15. The plan protects the IDR 22,187,600 minimum."
request_225,9617400.11,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7,647,120, starting 2026-07-20. The 90-day forecast protects the IDR 17,670,700 minimum."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. The 90-day forecast keeps at least INR 209,400 available."
request_227,7540.98,not_affordable,not_recommended,none,,none,"Do not proceed with INR 259,700. No eligible plan completes the request within 90 days while protecting the INR 62,900 minimum."
request_228,1637914.85,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 63,327,000. No eligible plan completes the request within 90 days while protecting the IDR 26,191,200 minimum."
request_229,438.12,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 2024-03-18. The 90-day forecast protects the EUR 1,000 minimum."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. The 90-day forecast keeps at least EUR 2,000 available."
request_231,32275.98,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments of ZAR 12,378.08, starting 2026-01-06. The 90-day forecast protects the ZAR 24,300 minimum."
request_232,658.07,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,"Wait until 2024-08-15, then pay EUR 1,970.10 in full without taking the forecast below the EUR 2,400 minimum."
request_233,3739783.37,affordable_with_plan,partial_payment,2025-11-07:3739783.37|2025-11-15:2501216.63,2025-11-15,none,"Pay IDR 3,739,783.37 today and IDR 2,501,216.63 on 2025-11-15. The plan protects the IDR 10,365,700 minimum."
request_234,183.1,affordable_later,wait,2026-08-15:1213.30,2026-08-15,none,"Wait until 2026-08-15, then pay EUR 1,213.30 in full without taking the forecast below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. The 90-day forecast keeps at least USD 700 available.
request_236,5784239.84,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 52,383,000. No eligible plan completes the request within 90 days while protecting the IDR 16,768,600 minimum."
request_237,23826000,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. The 90-day forecast keeps at least IDR 22,431,500 available."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 2024-12-07. The 90-day forecast protects the USD 700 minimum."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. The 90-day forecast keeps at least USD 600 available.
request_240,13732.2,not_affordable,not_recommended,none,,none,"Do not proceed with INR 101,200. No eligible plan completes the request within 90 days while protecting the INR 52,800 minimum."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 2024-03-17. The 90-day forecast protects the IDR 19,252,000 minimum."
request_242,45.21,not_affordable,not_recommended,none,,none,"Do not proceed with EUR 1,966.80. No eligible plan completes the request within 90 days while protecting the EUR 600 minimum."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. The 90-day forecast keeps at least ZAR 19,900 available."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. The 90-day forecast keeps at least ZAR 45,900 available."
request_245,28047.2,affordable_later,wait,2025-12-15:128500,2025-12-15,none,"Wait until 2025-12-15, then pay INR 128,500 in full without taking the forecast below the INR 94,600 minimum."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 2026-04-03. The 90-day forecast protects the ZAR 39,300 minimum."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. The 90-day forecast keeps at least EUR 1,300 available."
request_248,938.92,affordable_with_plan,partial_payment,2025-02-07:938.92|2025-04-15:1026.68,2025-04-15,none,"Pay USD 938.92 today and USD 1,026.68 on 2025-04-15. The plan protects the USD 1,300 minimum."
request_249,145.69,affordable_later,wait,2026-02-15:643.20,2026-02-15,none,"Wait until 2026-02-15, then pay USD 643.20 in full without taking the forecast below the USD 600 minimum."
request_250,15423.49,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 124,278. No eligible plan completes the request within 90 days while protecting the ZAR 35,300 minimum."
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,"Do not complete EUR 1,513.60 by the requested date. Only EUR 1,513.60 is safe today, and no eligible plan meets the deadline while protecting the EUR 1,300 minimum."
request_252,3961220,affordable_later,wait,2026-08-15:28082000,2026-08-15,none,"Wait until 2026-08-15, then pay IDR 28,082,000 in full without taking the forecast below the IDR 15,152,200 minimum."
request_253,1374.63,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 2024-03-21. The 90-day forecast protects the EUR 2,300 minimum."
request_254,638.77,affordable_later,wait,2025-09-15:3535.20,2025-09-15,none,"Wait until 2025-09-15, then pay USD 3,535.20 in full without taking the forecast below the USD 2,500 minimum."
request_255,3345000,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000 today. The 90-day forecast keeps at least IDR 9,813,900 available."
request_256,152882.79,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-06-15,none,"Use 3 installments of INR 75,816, starting 2024-06-10. The 90-day forecast protects the INR 168,600 minimum."
request_257,413.96,affordable_later,wait,2025-12-15:1352.40,2025-12-15,none,"Wait until 2025-12-15, then pay USD 1,352.40 in full without taking the forecast below the USD 1,600 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. The 90-day forecast keeps at least USD 500 available."
request_259,252.44,affordable_later,wait,2024-10-15:935,2024-10-15,none,"Wait until 2024-10-15, then pay EUR 935 in full without taking the forecast below the EUR 600 minimum."
request_260,6361671.81,not_affordable,not_recommended,none,,none,"Do not proceed with IDR 52,079,000. No eligible plan completes the request within 90 days while protecting the IDR 20,727,700 minimum."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. The 90-day forecast keeps at least EUR 1,500 available."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. The 90-day forecast keeps at least IDR 31,018,500 available."
request_263,5754.37,not_affordable,not_recommended,none,,none,"Do not proceed with ZAR 51,546. No eligible plan completes the request within 90 days while protecting the ZAR 24,100 minimum."
request_264,23304.77,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Wait until 2026-06-15, then pay INR 111,300 in full without taking the forecast below the INR 59,500 minimum."
request_265,35701.38,affordable_with_plan,full_payment,2024-03-06:45970,,stop:event_24384,"Apply the listed flexible-spending changes, then pay INR 45,970 today. The 90-day forecast keeps at least INR 189,700 available."
request_266,769.94,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 2025-08-03. The 90-day forecast protects the EUR 900 minimum."
request_267,1636.17,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-01-15,none,"Use 3 installments of EUR 667.33, starting 2026-01-08. The 90-day forecast protects the EUR 1,500 minimum."
request_268,1041.05,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 2024-06-14. The 90-day forecast protects the EUR 1,400 minimum."
request_269,9889.19,affordable_later,wait,2025-11-15:15490,2025-11-15,none,"Wait until 2025-11-15, then pay ZAR 15,490 in full without taking the forecast below the ZAR 23,100 minimum."
request_270,93.85,not_affordable,not_recommended,none,,none,"Do not proceed with USD 3,028.80. No eligible plan completes the request within 90 days while protecting the USD 1,400 minimum."
request_271,17662.42,affordable_later,wait,2024-10-15:91300,2024-10-15,none,"Wait until 2024-10-15, then pay INR 91,300 in full without taking the forecast below the INR 58,200 minimum."
request_272,5428691.45,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 2025-02-12. The 90-day forecast protects the IDR 7,508,600 minimum."
request_273,9635534.58,affordable_with_plan,partial_payment,2026-04-07:9635534.58|2026-04-15:6225465.42,2026-04-15,none,"Pay IDR 9,635,534.58 today and IDR 6,225,465.42 on 2026-04-15. The plan protects the IDR 18,774,600 minimum."
request_274,2277.54,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2024-12-15,none,"Use 3 installments of EUR 940.75, starting 2024-12-04. The 90-day forecast protects the EUR 1,800 minimum."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. The 90-day forecast keeps at least IDR 12,760,100 available."
